Protein_A,Protein_B,coexpression,experimentally_determined_interaction,database_annotated,combined_score,automated_textmining,Disease associated,Experimental System,Author,Pubmed ID
LIN7C,MPP3,0,0.792,0,0.94,0.725,Lung diseases,Affinity Capture-MS,Huttlin EL (2015),26186194
LIN7C,DLG4,0.068,0.562,0.5,0.96,0.828,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MAD2L1,TPX2,0.543,0.075,0,0.863,0.701,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MAD2L1,KIF20A,0.595,0.615,0,0.913,0.489,Lung diseases,Affinity Capture-MS,Hein MY (2015),26496610
MAML1,CREBBP,0.169,0.292,0.8,0.903,0.273,Lung diseases,Affinity Capture-MS,Fryer CJ (2002),12050117
MAML1,NOTCH3,0.066,0.314,0.9,0.988,0.842,Lung diseases,Reconstituted Complex,Wu L (2000),11101851
MAML1,CDK8,0.044,0.292,0.5,0.847,0.603,Lung diseases,Reconstituted Complex,Fryer CJ (2004),15546612
MAML1,NOTCH4,0,0.314,0.8,0.984,0.896,Lung diseases,Reconstituted Complex,Wu L (2000),11101851
MCF2L,RAC1,0,0.706,0.4,0.825,0.09,Lung diseases,Affinity Capture-Western,Cheng L (2004),14701795
MCF2L,RHOA,0,0.727,0.4,0.874,0.291,Lung diseases,Co-crystal Structure,Snyder JT (2002),12006984
MED1,MED31,0,0.969,0.8,0.996,0.474,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED28,0,0.998,0.8,0.999,0.091,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED1,MED17,0.199,0.998,0.9,0.999,0.874,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED10,0,0.982,0.8,0.997,0.417,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED4,0.214,0.999,0.9,0.999,0.741,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED15,0.128,0.998,0.8,0.999,0.488,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED26,0,0.966,0.9,0.999,0.781,Lung diseases,Affinity Capture-MS,Donner AJ (2010),20098423
MED1,MED20,0.067,0.998,0.8,0.999,0.337,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED9,0,0.986,0.8,0.998,0.326,Lung diseases,Affinity Capture-MS,Donner AJ (2010),20098423
MED1,TP53,0.049,0.625,0,0.906,0.759,Lung diseases,Reconstituted Complex,Drane P (1997),9444950
MED1,MED13L,0.17,0.839,0.8,0.976,0.231,Lung diseases,Affinity Capture-Western,Davis MA (2013),23322298
MED1,MED21,0.081,0.975,0.9,0.998,0.373,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED7,0,0.974,0.8,0.998,0.713,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED8,0.049,0.998,0.9,0.999,0.53,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED27,0.127,0.998,0.8,0.999,0.695,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED11,0.101,0.973,0.9,0.997,0.177,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED30,0.164,0.998,0.9,0.999,0.448,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,THRAP3,0.177,0.33,0.9,0.954,0.264,Lung diseases,Co-purification,Yuan CX (1998),9653119
MED1,MED12L,0.055,0.801,0.8,0.966,0.22,Lung diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
MED1,POLR2A,0.097,0.935,0,0.97,0.532,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,CDK9,0.097,0.994,0.54,0.997,0.254,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED1,MED18,0.083,0.998,0.9,0.999,0.43,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED16,0.082,0.998,0.9,0.999,0.569,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED29,0.042,0.998,0.9,0.999,0.292,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED1,MED22,0.11,0.998,0.9,0.999,0.287,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED6,0.049,0.998,0.9,0.999,0.611,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED14,0.261,0.998,0.9,0.999,0.961,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED24,0.115,0.999,0.8,0.999,0.972,Lung diseases,Co-purification,Yuan CX (1998),9653119
MED1,MED13,0.309,0.994,0.9,0.999,0.457,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED23,0.225,0.998,0.8,0.999,0.85,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED12,0.194,0.994,0.9,0.999,0.791,Lung diseases,Affinity Capture-MS,Zhang X (2005),15989967
MED1,MED19,0.054,0.998,0.8,0.999,0.411,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED1,MED25,0.172,0.998,0.8,0.999,0.222,Lung diseases,Affinity Capture-Western,Zhang X (2005),15989967
MED10,MED31,0.135,0.997,0.8,0.999,0.977,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED28,0.119,0.998,0.8,0.999,0.781,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED17,0.049,0.995,0.8,0.999,0.975,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED12L,0,0.654,0.54,0.902,0.438,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED10,MED13L,0,0.855,0.8,0.988,0.63,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,POLR2A,0,0.989,0,0.992,0.297,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED13,0,0.889,0.8,0.994,0.772,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED25,0,0.974,0.8,0.996,0.311,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED23,0,0.979,0.8,0.998,0.77,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED24,0,0.978,0.8,0.998,0.654,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED29,0.076,0.979,0.8,0.998,0.711,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED4,0.126,0.986,0.8,0.999,0.868,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED9,0,0.973,0.8,0.999,0.977,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED8,0.126,0.984,0.8,0.999,0.948,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED19,0.139,0.991,0.8,0.999,0.987,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED30,0.131,0.978,0.8,0.999,0.907,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED12,0,0.994,0.8,0.999,0.861,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED15,0.049,0.976,0.8,0.999,0.911,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED14,0,0.997,0.8,0.999,0.972,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED6,0.167,0.997,0.8,0.999,0.964,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED11,0.118,0.984,0.8,0.999,0.974,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED21,0.049,0.997,0.8,0.999,0.957,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED7,0.06,0.997,0.8,0.999,0.996,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED26,0.069,0.98,0.8,0.999,0.822,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED16,0,0.981,0.8,0.999,0.868,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED18,0,0.998,0.8,0.999,0.959,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED27,0.098,0.978,0.8,0.999,0.899,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED22,0.074,0.997,0.8,0.999,0.97,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED10,MED20,0,0.983,0.8,0.999,0.904,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED11,MED31,0.088,0.927,0.8,0.996,0.772,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED28,0.042,0.999,0.8,0.999,0.721,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED11,MED17,0.211,0.989,0.9,0.999,0.995,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED11,MED15,0.087,0.961,0.8,0.997,0.715,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED20,0.082,0.975,0.8,0.999,0.984,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED9,0.056,0.956,0.8,0.997,0.736,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED13L,0,0.635,0.8,0.942,0.271,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED21,0.061,0.969,0.9,0.999,0.823,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED11,MED7,0.097,0.972,0.8,0.999,0.869,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED27,0.082,0.962,0.8,0.999,0.953,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED11,MED12L,0,0.625,0.54,0.876,0.342,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,POLR2A,0.075,0.879,0,0.904,0.203,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED25,0.109,0.886,0.8,0.984,0.318,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED23,0.172,0.957,0.8,0.996,0.51,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED11,MED24,0.097,0.974,0.8,0.997,0.505,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED11,MED19,0.049,0.977,0.8,0.999,0.948,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED11,MED12,0.082,0.994,0.9,0.999,0.487,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED11,MED14,0.108,0.968,0.9,0.999,0.886,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED12,MED31,0,0.994,0.8,0.999,0.588,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED28,0,0.994,0.8,0.999,0.539,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED17,0.127,0.994,0.9,0.999,0.976,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED4,0.217,0.994,0.9,0.999,0.666,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED15,0.18,0.994,0.8,0.999,0.915,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED26,0,0.699,0.9,0.994,0.84,Lung diseases,Affinity Capture-Western,Tsai KL (2013),23563140
MED12,MED20,0.083,0.994,0.8,0.999,0.633,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED9,0,0.829,0.8,0.982,0.537,Lung diseases,Affinity Capture-MS,Hein MY (2015),26496610
MED12,MED13L,0.161,0.9,0.8,0.999,0.977,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED12,MED21,0,0.994,0.9,0.999,0.64,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED7,0,0.842,0.8,0.991,0.755,Lung diseases,Affinity Capture-MS,Hein MY (2015),26496610
MED12,MED8,0,0.994,0.9,0.999,0.701,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED27,0.109,0.994,0.8,0.999,0.693,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED30,0.118,0.994,0.9,0.999,0.754,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED14,0.246,0.994,0.9,0.999,0.926,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED16,0.127,0.994,0.9,0.999,0.847,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED25,0.203,0.994,0.8,0.999,0.258,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,THRAP3,0.072,0.162,0.9,0.924,0.141,Lung diseases,Affinity Capture-MS,Rosenbluh J (2016),27684187
MED12,MED23,0.22,0.994,0.8,0.999,0.944,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,CDK9,0.102,0.994,0.54,0.998,0.438,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED18,0.081,0.994,0.9,0.999,0.711,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED19,0,0.893,0.8,0.995,0.801,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12,MED13,0.154,0.996,0.9,0.999,0.997,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED6,0,0.994,0.9,0.999,0.807,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED24,0.24,0.994,0.8,0.999,0.636,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED22,0.075,0.994,0.9,0.999,0.541,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12,MED29,0,0.994,0.9,0.999,0.546,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED12L,MED28,0,0.785,0.54,0.907,0.143,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED26,0,0.195,0.54,0.841,0.606,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED27,0,0.195,0.54,0.761,0.407,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED18,0,0.818,0.54,0.952,0.475,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED6,0,0.195,0.54,0.759,0.403,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED22,0,0.663,0.54,0.896,0.384,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED12L,MED19,0,0.847,0.54,0.976,0.694,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13,MED31,0.048,0.713,0.8,0.973,0.566,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED28,0,0.994,0.8,0.999,0.418,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED17,0.067,0.81,0.9,0.996,0.818,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED15,0.042,0.643,0.8,0.991,0.893,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED20,0,0.749,0.8,0.981,0.658,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED9,0,0.82,0.8,0.983,0.587,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED13L,0.485,0.53,0.8,0.973,0.505,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED21,0.043,0.856,0.9,0.991,0.446,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED13,MED7,0.042,0.854,0.8,0.987,0.608,Lung diseases,Affinity Capture-Western,Tsai KL (2013),23563140
MED13,MED27,0,0.8,0.8,0.989,0.756,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED13,MED14,0.221,0.848,0.9,0.999,0.952,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED13,MED25,0,0.496,0.8,0.916,0.242,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED23,0.105,0.843,0.8,0.996,0.888,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED24,0,0.847,0.8,0.987,0.63,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED13,MED12L,0.154,0.715,0.54,0.996,0.973,Lung diseases,Proximity Label-MS,Liu X (2018),29568061
MED13,MED19,0,0.919,0.8,0.997,0.871,Lung diseases,Affinity Capture-Western,Tsai KL (2013),23563140
MED13L,MED28,0.042,0.811,0.8,0.97,0.273,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13L,MED26,0.049,0.62,0.8,0.964,0.57,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13L,MED16,0,0.707,0.8,0.951,0.245,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED13L,MED22,0,0.69,0.8,0.956,0.351,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13L,MED6,0.049,0.64,0.8,0.967,0.579,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED13L,MED27,0,0.781,0.8,0.97,0.39,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED13L,MED18,0,0.818,0.8,0.975,0.378,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13L,MED19,0,0.873,0.8,0.986,0.494,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED13L,MED12L,0.154,0.589,0.54,0.998,0.991,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED31,0.042,0.997,0.8,0.999,0.865,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED28,0,0.999,0.8,0.999,0.523,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED17,0.163,0.996,0.9,0.999,0.988,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED14,MED4,0.257,0.987,0.9,0.999,0.874,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED15,0.201,0.984,0.8,0.999,0.964,Lung diseases,Positive Genetic,Du D (2017),28481362
MED14,MED26,0.067,0.973,0.9,0.999,0.902,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED14,MED20,0.101,0.983,0.8,0.999,0.853,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED14,MED9,0.049,0.956,0.8,0.997,0.732,Lung diseases,Negative Genetic,Horlbeck MA (2018),30033366
MED14,MED13L,0.212,0.576,0.8,0.98,0.744,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED21,0.049,0.997,0.9,0.999,0.987,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED7,0.049,0.997,0.8,0.999,0.987,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED14,MED8,0.049,0.968,0.9,0.999,0.882,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED27,0.124,0.984,0.8,0.999,0.891,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED14,MED30,0.164,0.94,0.9,0.999,0.843,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED12L,0.042,0.566,0.54,0.894,0.513,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED25,0.257,0.956,0.8,0.996,0.532,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED14,POLR2A,0.161,0.993,0,0.997,0.57,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED22,0.097,0.996,0.9,0.999,0.906,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED16,0.101,0.984,0.9,0.999,0.917,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED18,0.083,0.998,0.9,0.999,0.93,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED29,0.049,0.987,0.9,0.999,0.85,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED14,MED6,0.06,0.997,0.9,0.999,0.994,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED14,MED24,0.214,0.976,0.8,0.999,0.973,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED14,MED19,0,0.988,0.8,0.999,0.88,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED14,MED23,0.212,0.985,0.8,0.999,0.964,Lung diseases,Affinity Capture-Western,Ryu S (1999),9989412
MED15,MED31,0,0.922,0.8,0.997,0.82,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED28,0,0.998,0.8,0.999,0.511,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED17,0.163,0.983,0.8,0.999,0.871,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED4,0.252,0.968,0.8,0.998,0.682,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED15,MED12L,0,0.314,0.36,0.795,0.572,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED13L,0.049,0.355,0.8,0.959,0.706,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED8,0.049,0.952,0.8,0.996,0.69,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED15,MED25,0.32,0.925,0.8,0.997,0.736,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED26,0.049,0.939,0.8,0.997,0.795,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED6,0,0.959,0.8,0.998,0.84,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED22,0.083,0.938,0.8,0.998,0.877,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED19,0,0.974,0.8,0.999,0.873,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED23,0.128,0.979,0.8,0.999,0.968,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED24,0.246,0.982,0.8,0.999,0.893,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED15,MED27,0.163,0.981,0.8,0.999,0.962,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED15,MED16,0.102,0.983,0.8,0.999,0.948,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED15,MED18,0.11,0.998,0.8,0.999,0.884,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED15,MED7,0,0.97,0.8,0.999,0.85,Lung diseases,Affinity Capture-MS,Mittler G (2003),14657022
MED16,MED31,0,0.925,0.8,0.996,0.811,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED16,MED28,0,0.998,0.8,0.999,0.554,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED16,MED9,0,0.966,0.8,0.997,0.716,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED16,MED21,0.053,0.968,0.9,0.999,0.771,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED16,MED27,0.097,0.978,0.8,0.999,0.908,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED16,MED12L,0,0.314,0.54,0.765,0.316,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED16,MED19,0.068,0.98,0.8,0.998,0.746,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED16,MED24,0.109,0.985,0.8,0.999,0.939,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED17,MED31,0.053,0.994,0.8,0.999,0.952,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED28,0.107,0.999,0.8,0.999,0.704,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED17,MED12L,0,0.598,0.54,0.862,0.315,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,TP53,0,0.292,0,0.914,0.884,Lung diseases,Reconstituted Complex,Ito M (1999),10198638
MED17,MED13L,0.049,0.628,0.8,0.955,0.439,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,POLR2A,0.164,0.926,0,0.965,0.491,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED25,0.25,0.925,0.8,0.996,0.69,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MED17,MED9,0.074,0.964,0.8,0.997,0.695,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED23,0.297,0.956,0.8,0.998,0.817,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MED17,MED24,0.153,0.968,0.8,0.998,0.756,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED17,MED30,0.434,0.984,0.9,0.999,0.956,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED19,0.115,0.981,0.8,0.999,0.947,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED8,0.055,0.984,0.9,0.999,0.996,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED4,0.428,0.984,0.9,0.999,0.793,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MED17,MED21,0.049,0.995,0.9,0.999,0.946,Lung diseases,Co-fractionation,Havugimana PC (2012),22939629
MED17,MED6,0.138,0.995,0.9,0.999,0.995,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED20,0.219,0.986,0.8,0.999,0.989,Lung diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
MED17,MED22,0.216,0.996,0.9,0.999,0.994,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED17,MED27,0.146,0.984,0.8,0.999,0.976,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED16,0.08,0.966,0.9,0.999,0.86,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED17,MED18,0.138,0.999,0.9,0.999,0.949,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED26,0.048,0.991,0.9,0.999,0.841,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED17,MED7,0.089,0.995,0.8,0.999,0.938,Lung diseases,Affinity Capture-MS,Cho NH (2022),35271311
MED17,MED29,0.074,0.975,0.9,0.999,0.84,Lung diseases,Affinity Capture-MS,Marcon E (2014),24981860
MED18,MED31,0.049,0.998,0.8,0.999,0.791,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED18,MED28,0.042,0.998,0.8,0.999,0.702,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED18,MED20,0.067,0.999,0.8,0.999,0.999,Lung diseases,Reconstituted Complex,Sato S (2003),12584197
MED18,MED9,0,0.968,0.8,0.998,0.831,Lung diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
MED18,MED21,0.09,0.998,0.9,0.999,0.873,Lung diseases,Reconstituted Complex,Zhang X (2005),15989967
MED18,MED7,0.042,0.995,0.8,0.999,0.811,Lung diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
MED18,MED27,0.106,0.998,0.8,0.999,0.834,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED18,MED25,0.127,0.954,0.8,0.993,0.292,Lung diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
MED18,MED23,0.082,0.998,0.8,0.999,0.685,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED18,POLR2A,0.113,0.966,0,0.987,0.621,Lung diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
MED18,MED19,0,0.984,0.8,0.999,0.977,Lung diseases,Co-fractionation,Wan C (2015),26344197
MED18,MED24,0.125,0.998,0.8,0.999,0.621,Lung diseases,Affinity Capture-MS,Malovannaya A (2010),20133760
MED19,MED31,0.06,0.978,0.8,0.999,0.973,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
MED19,MED28,0.055,0.998,0.8,0.999,0.694,Lung diseases,Affinity Capture-MS,Sato S (2004),15175163
